date,nav,shadow_nav,shadow_dd,regular_systemic,emergency,allocation,damaged_breadth,green_breadth,r5,r10,r20,db5
2018-06-28,34.85438582773582,30.799989898387327,-0.063577555206708,False,False,1.0,0.56,0.32,-0.032299814577581576,-0.050662421305923466,-0.01922119837952052,0.20000000000000007
2018-06-29,34.776017768173794,30.730737912287324,-0.0656830466157799,False,False,1.0,0.64,0.28,-0.028838198193038678,-0.0448474051021327,-0.0317459652232388,0.24
2018-07-02,35.019887623849655,30.946239890387325,-0.0591310675451387,False,False,1.0,0.52,0.32,0.0022713674259184913,-0.0442912102988946,-0.027049890156077727,0.0
2018-07-03,34.9445024066605,30.87962377098733,-0.0611564198130124,False,False,1.0,0.68,0.28,-0.006997863415856065,-0.04070882816547006,-0.04401850629171922,0.32000000000000006
2018-07-05,34.866831347455005,30.810987707487325,-0.0632431851202642,False,False,1.0,0.68,0.24,0.009584573310013944,-0.041195576253510224,-0.05464867134457729,0.08000000000000007
2018-07-06,35.2896795338754,31.184648569987324,-0.0518826483298239,False,False,1.0,0.64,0.28,0.01248892200513807,-0.020214282437483355,-0.03983820225668844,0.07999999999999996
2018-07-09,35.42564809279084,31.304800744287327,-0.0482296213912947,False,False,1.0,0.48,0.2,0.01868041156832989,-0.010696496035843994,-0.04474083502614701,-0.16000000000000003
2018-07-10,35.4122117504857,31.292927368887323,-0.0485906116142363,False,False,1.0,0.52,0.2,0.01120289507636385,0.013499708393234888,-0.04261502800971051,0.0
2018-07-11,35.13175956002613,31.04509845358733,-0.0561254374216901,False,False,1.0,0.6,0.2,0.005358701382737419,-0.001676661493481446,-0.056125437421690294,-0.08000000000000007
2018-07-12,35.574331932012235,31.43618910868733,-0.0442349767886585,False,False,1.0,0.56,0.2,0.020291507923586583,0.030070566678864763,-0.027629001485112936,-0.12
2018-07-13,35.45245722787647,31.32849133788733,-0.0475093483116376,False,False,1.0,0.56,0.28,0.004612614683701777,0.017159143273864252,-0.0343726017778484,-0.07999999999999996
2018-07-16,35.35961445829113,31.24644839558733,-0.0500037274611134,False,False,1.0,0.6,0.28,-0.0018640063923948125,0.016781584769359092,-0.02881843086318092,0.12
2018-07-17,35.79236003209814,31.62885534338732,-0.0383772804997279,False,False,1.0,0.6,0.36,0.010734948844510761,0.022058106426429802,-0.023210084102993078,0.07999999999999996
2018-07-18,36.09732967219683,31.89834974448733,-0.0301837516457009,False,False,1.0,0.56,0.4,0.027484251408499194,0.032990232687262644,-0.009061589191811992,-0.039999999999999925
2018-07-19,35.86898745910032,31.69656917398732,-0.0363185541492984,False,False,1.0,0.52,0.36,0.008282812665356909,0.02874239134777201,-0.013637244280213512,-0.040000000000000036
2018-07-20,35.79215501536489,31.628674174987324,-0.0383827886234838,False,False,1.0,0.52,0.4,0.009581784001739369,0.014238595763023554,-0.006263509670726752,-0.040000000000000036
2018-07-23,35.725867617428285,31.57009758158733,-0.0401637124802854,False,False,1.0,0.52,0.4,0.010357951147039968,0.008474637467495105,-0.002312507494425242,-0.07999999999999996
2018-07-24,35.60751646801343,31.465513492099824,-0.0433434177038088,False,False,1.0,0.4583333333333333,0.4166666666666667,-0.005164330150874252,0.0055151798736507995,0.01908934158691622,-0.14166666666666666
2018-07-25,36.070921123805384,31.87501313979983,-0.0308932622814751,False,False,1.0,0.3333333333333333,0.5,-0.0007315928527472648,0.026732551273858318,0.025011068341033393,-0.22666666666666674
2018-07-26,35.37443551002383,31.25954540569982,-0.0496055346607428,False,False,1.0,0.4583333333333333,0.4166666666666667,-0.013787730965096223,-0.005619119492403568,0.02428247707908837,-0.0616666666666667
2018-07-27,34.63936451070758,30.609980686199822,-0.069354469147163,False,False,1.0,0.5833333333333334,0.4166666666666667,-0.03220790992222833,-0.022934735156511343,-0.006169132289145729,0.06333333333333335
2018-07-30,34.05584544111227,30.094338794304825,-0.0850317028942896,False,False,1.0,0.6086956521739131,0.3478260869565217,-0.0467454616973757,-0.036871697758942945,-0.020708878511115802,0.08869565217391306
2018-07-31,34.17106188152567,30.196152816172823,-0.0819362169676251,False,False,1.0,0.5909090909090909,0.3636363636363636,-0.040341330397983266,-0.045297324599956834,-0.024238391380385416,0.13257575757575762
2018-08-01,34.26940016384365,30.283052012072822,-0.0792941915077559,False,False,1.0,0.5454545454545454,0.3636363636363636,-0.04994385792861844,-0.05063891221186645,-0.01931926902150316,0.2121212121212121
2018-08-02,34.51422527047713,30.49939812267283,-0.0727165479930032,False,False,1.0,0.5,0.4545454545454545,-0.024317285269554456,-0.037769736047552516,-0.010112937234361241,0.041666666666666685
2018-08-03,34.51354304692499,30.49879525798262,-0.0727348770908031,False,False,1.0,0.4761904761904761,0.3809523809523809,-0.003632325984031959,-0.03572324627815848,-0.021993299378232578,-0.10714285714285726
2018-08-06,34.64268143517464,30.61291177328263,-0.0692653543214427,False,False,1.0,0.4761904761904761,0.3809523809523809,0.017231579086095072,-0.03031938073143492,-0.02210168902387788,-0.13250517598343697
2018-08-07,34.38981732839022,30.38946178988263,-0.0760589792685536,False,False,1.0,0.4761904761904761,0.4761904761904761,0.006401774917706549,-0.03419781159736557,-0.028871238805959543,-0.11471861471861483
2018-08-08,34.34239973512953,30.347559993057025,-0.0773329336806855,False,False,1.0,0.45,0.45,0.0021301677571496924,-0.047920078967296,-0.022468553661478263,-0.0954545454545454
2018-08-09,34.24925293488054,30.26524838610703,-0.0798354811318134,False,False,1.0,0.5,0.45,-0.007677192042414016,-0.03180778884300395,-0.037248176569109503,0.0
2018-08-10,34.03408317700583,30.07510800028202,-0.0856163831884572,False,False,1.0,0.5,0.35,-0.01389193422614643,-0.017473800176520227,-0.04000777835380531,0.02380952380952389
2018-08-13,33.927626873733814,29.981035102782027,-0.0884765131091604,False,False,1.0,0.55,0.3,-0.02064085491704426,-0.0037649503548567997,-0.040497828002238,0.07380952380952394
2018-08-14,34.16167626341452,30.187858969182024,-0.0821883775852579,False,False,1.0,0.55,0.4,-0.00663397141069888,-0.00027466568477418907,-0.04555954866405132,0.07380952380952394
2018-08-15,33.764064206764345,29.83649867298202,-0.092870902763233,False,False,1.0,0.55,0.3,-0.01684027711591729,-0.014745981974101374,-0.06463817369930358,0.10000000000000003
2018-08-16,34.011138392163524,30.05483224087382,-0.0862328339164512,False,False,1.0,0.4736842105263157,0.3684210526315789,-0.006952401069002856,-0.014576218193254276,-0.05179541432707602,-0.026315789473684292
