Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
2016-05-24,BUY,BKH,,126.0
2016-05-26,SELL,VRSN,,3.0
2016-05-27,BUY,CDE,,41.0
2016-06-30,BUY,HMY,,79.0
2016-07-15,BUY,IRM,,9.0
2016-08-15,SELL,HRL,,192.0
2016-08-30,BUY,NUVA,,142.0
2016-08-31,SELL,AG,,788.0
2016-09-15,BUY,EXEL,,697.0
2016-09-19,SELL,HMY,,79.0
2016-09-22,SELL,BRKR,,308.0
2016-10-03,BUY,WB,,180.0
2016-10-05,SELL,CDE,,41.0
2016-10-05,SELL,B,,500.0
2016-10-06,SELL,DG,,122.0
2016-10-19,BUY,NTES,,33.0
2016-10-24,BUY,NVDA,,132.0
2016-10-27,SELL,CPB,,141.0
2016-11-01,SELL,EXEL,,697.0
2016-11-04,BUY,GEN,,372.0
2016-11-07,BUY,BRSL,,252.0
2016-11-11,SELL,BKH,,126.0
2016-11-14,BUY,FNSR,,228.0
2016-12-01,BUY,REN,,8.0
2017-01-05,SELL,IRM,,9.0
2017-01-06,BUY,CFG,,13.0
2017-02-17,BUY,AGO,,6.0
2017-03-09,BUY,STM,,20.0
2017-03-27,SELL,WB,,180.0
2017-04-06,SELL,FNSR,,228.0
2017-04-27,BUY,MASI,,102.0
2017-05-02,SELL,BRSL,,252.0
2017-05-09,BUY,WNC,,466.0
2017-06-15,BUY,RACE,,124.0
2017-06-16,SELL,REN,,8.0
2017-06-29,SELL,CFG,,13.0
2017-06-29,SELL,AZO,,18.0
2017-07-06,SELL,ORLY,,102.0
2017-07-17,BUY,ISRG,,11.0
2017-07-19,BUY,SPGI,,72.0
2017-08-01,BUY,FIZZ,,103.0
2017-09-01,BUY,PRXL,,3.0
2017-09-20,SELL,NUVA,,142.0
2017-09-21,BUY,ATHM,,118.0
2017-10-17,SELL,MASI,,102.0
2017-10-20,BUY,PYPL,,128.0
2017-11-29,BUY,IBKR,,5.0
2018-01-02,BUY,DHI,,7.0
2018-01-05,SELL,EDR1,,212.0
2018-02-07,BUY,EC,,418.0
2018-03-20,SELL,FIZZ,,103.0
2018-04-20,BUY,GMED,,195.0
2018-04-25,SELL,NTES,,33.0
2018-05-14,SELL,GEN,,372.0
2018-05-25,BUY,HLF,,264.0
2018-06-14,BUY,ABMD,,8.0
2018-06-25,SELL,DHI,,7.0
2018-07-26,BUY,TNDM,,34.0
2018-07-31,SELL,TAL,,1038.0
2018-08-03,SELL,CBOE,,114.0
2018-08-13,SELL,WNC,,466.0
2018-08-13,SELL,ATHM,,118.0
2018-08-30,BUY,AMED,,107.0
2018-09-05,BUY,IIN,,173.0
2018-09-06,SELL,EDU,,265.0
2018-09-10,SELL,STM,,20.0
2018-09-13,BUY,WWE,,152.0
2018-09-14,BUY,FNKO,,575.0
2018-09-28,SELL,IBKR,,5.0
2018-10-03,SELL,TNDM,,34.0
2018-10-08,BUY,EPAY,,183.0
2018-10-10,SELL,GMED,,195.0
2018-10-10,BUY,WCG,,39.0
2018-10-11,SELL,IIN,,173.0
2018-10-25,SELL,NVDA,,132.0
2018-10-30,SELL,WWE,,152.0
2018-10-30,BUY,REGI,,381.0
2018-11-02,BUY,RGEN,,178.0
2018-11-09,BUY,TJX,,208.0
2018-11-12,SELL,ATVI,,256.0
2018-11-12,SELL,FNKO,,575.0
2018-11-12,BUY,LLY,,100.0
2018-11-15,SELL,ABMD,,8.0
2018-11-21,SELL,EC,,418.0
2018-11-27,BUY,MKC,,74.0
2018-11-30,BUY,CABO,,12.0
2018-12-14,SELL,RACE,,124.0
2018-12-14,BUY,MZTI,,58.0
2018-12-17,BUY,AEE,,153.0
2018-12-18,SELL,EPAY,,183.0
2018-12-19,BUY,HELE,,77.0
2018-12-26,SELL,WCG,,39.0
2018-12-26,SELL,COR2,,129.0
2018-12-26,BUY,IDTI,,204.0
2019-01-17,BUY,TRCO,,233.0
2019-01-22,BUY,ESL,,89.0
2019-01-29,BUY,AU,,439.0
2019-03-04,BUY,KL,,8.0
2019-04-03,SELL,REGI,,381.0
2019-04-29,BUY,SEE,,247.0
2019-05-06,BUY,ENPH,,844.0
2019-05-07,SELL,TJX,,208.0
2019-05-15,BUY,ZNGA,,1851.0
2019-05-28,SELL,HLF,,264.0
2019-06-07,BUY,ERIE,,49.0
2019-06-10,SELL,MZTI,,58.0
2019-06-13,SELL,HELE,,77.0
2019-06-27,BUY,SHOP,,40.0
2019-07-11,BUY,AWI,,123.0
2019-07-16,BUY,PRO,,42.0
2019-09-10,SELL,ENPH,,844.0
2019-09-30,SELL,ERIE,,49.0
2019-10-10,BUY,HSY,,78.0
2019-10-17,SELL,SEE,,247.0
2019-10-29,SELL,PRO,,42.0
2019-10-30,BUY,AWR,,131.0
2019-11-01,BUY,AQN,,905.0
2019-11-18,BUY,RH,,67.0
2019-11-29,BUY,GNRC,,36.0
2019-12-31,SELL,AWI,,123.0
2020-02-03,BUY,SYNA,,180.0
2020-02-10,SELL,KL,,8.0
2020-03-06,SELL,RH,,67.0
2020-03-10,SELL,CBRL,,69.0
2020-03-12,BUY,GOTU,,313.0
2020-03-13,SELL,SHOP,,40.0
2020-03-13,SELL,AGO,,6.0
2020-03-13,SELL,AU,,439.0
2020-03-13,SELL,SYNA,,180.0
2020-03-17,SELL,AMED,,107.0
2020-03-17,SELL,MKC,,74.0
2020-03-17,SELL,AWR,,131.0
2020-03-17,SELL,HD,,99.0
2020-03-17,SELL,AQN,,905.0
2020-03-17,SELL,CABO,,12.0
2020-03-17,SELL,SHW,,40.0
2020-03-17,SELL,LOW,,142.0
2020-03-17,SELL,ISRG,,33.0
2020-03-17,SELL,MCD,,55.0
2020-03-19,SELL,SPGI,,72.0
2020-03-23,SELL,PYPL,,128.0
2020-03-24,SELL,GNRC,,36.0
2020-03-24,SELL,HSY,,78.0
2020-04-07,BUY,REGN,,21.0
2020-04-09,BUY,BILI,,386.0
