date,0bp_control_allocation,10bp_control_allocation,0bp_control_reason,10bp_control_reason,0bp_wc_dd,10bp_wc_dd,0bp_control_nav,10bp_control_nav
2022-01-20,0.55,1.0,NORMAL,NORMAL,-0.2016731308615778,-0.1868431442991092,9.394717126444451,11.066070943822703
2022-01-21,0.55,1.0,NORMAL,NORMAL,-0.21812918168438977,-0.20214853416855993,9.287766531696565,10.857783294360264
2022-01-24,0.55,1.0,NORMAL,NORMAL,-0.20673148665370344,-0.19148114729555576,9.362667594999278,11.002953391733566
2022-01-25,0.55,1.0,NORMAL,NORMAL,-0.2156042274154356,-0.20000792269747314,9.304192843952196,10.886914400168612
2022-01-26,0.55,1.0,NORMAL,NORMAL,-0.21694091329344023,-0.20109435824902133,9.295908686906005,10.872129340182909
2022-01-27,0.55,1.0,NORMAL,NORMAL,-0.221460088608866,-0.20382624223427714,9.266837876306871,10.834951738125953
2022-01-28,0.55,1.0,NORMAL,NORMAL,-0.21198810693184655,-0.18909321729190953,9.327978038130063,11.035450200490661
2022-01-31,0.55,1.0,NORMAL,NORMAL,-0.1885543690253454,-0.16747735121876206,9.481419154102907,11.329615718250997
2022-02-01,0.55,1.0,NORMAL,NORMAL,-0.17920688429881804,-0.15777966593246373,9.541046613321306,11.461589362224698
2022-02-02,0.55,1.0,NORMAL,NORMAL,-0.1727972663664641,-0.1517892084660175,9.582472499074834,11.543112166644159
2022-02-03,0.55,1.0,NORMAL,NORMAL,-0.18722605533513803,-0.16688179123373825,9.490542301886089,11.337720561737676
2022-02-04,0.55,1.0,NORMAL,NORMAL,-0.18906079196389103,-0.1690054759611519,9.477869514720624,11.308819808222395
2022-02-07,0.55,1.0,NORMAL,NORMAL,-0.18663441548508763,-0.16699235697842907,9.493466594856205,11.336215897088874
2022-02-08,0.55,1.0,NORMAL,NORMAL,-0.18089163847088596,-0.16282883919293945,9.530777495054746,11.392876285385523
2022-02-09,0.55,1.0,NORMAL,NORMAL,-0.1604109852262271,-0.14218700999301292,9.661397725480816,11.67378635179549
2022-02-10,0.55,1.0,NORMAL,NORMAL,-0.1747959933181129,-0.1537124170092965,9.570354840083393,11.516939648967542
2022-02-11,0.55,1.0,NORMAL,NORMAL,-0.18779124971009398,-0.16499821975284956,9.487462527823467,11.363353667440645
2022-02-14,0.55,1.0,NORMAL,NORMAL,-0.19495581236612447,-0.1713607627475936,9.440932764306524,11.276767233754033
2022-02-15,0.55,1.0,NORMAL,NORMAL,-0.1792346062492819,-0.15440974465755386,9.543274825967,11.507449871967443
2022-02-16,0.55,1.0,NORMAL,NORMAL,-0.1830075358274219,-0.15753531091091622,9.519146911613463,11.464914735410655
2022-02-17,0.55,1.0,NORMAL,NORMAL,-0.19570821136243421,-0.16881781574463806,9.437310947282441,11.311373634405767
2022-02-18,0.55,1.0,NORMAL,NORMAL,-0.19947346118936193,-0.17205852210750694,9.41345426147378,11.267271581685945
2022-02-22,0.55,1.0,NORMAL,NORMAL,-0.21301429974442854,-0.18674335683377652,9.325878981928115,11.067428929262947
2022-02-23,0.55,1.0,NORMAL,NORMAL,-0.2209595833592709,-0.19506457220291606,9.273657853274614,10.954187358503077
2022-02-24,0.55,1.0,NORMAL,NORMAL,-0.20222577450869172,-0.17627944102299187,9.39631132724318,11.209830034167268
2022-02-25,0.55,1.0,NORMAL,NORMAL,-0.18005593795282504,-0.15409695937773105,9.539927244921644,11.511706497331215
2022-02-28,0.55,1.0,NORMAL,NORMAL,-0.1750042353746747,-0.150500855151937,9.572253939520806,11.560645080588582
2022-03-01,0.55,1.0,NORMAL,NORMAL,-0.1796320178576416,-0.1531959688945802,9.5437313658681,11.523967876592
2022-03-02,0.55,1.0,NORMAL,NORMAL,-0.15894503717505193,-0.1325194733410855,9.67609518903862,11.805349709703878
2022-03-03,0.55,1.0,NORMAL,NORMAL,-0.16550573218043418,-0.13731857175918383,9.635035345301752,11.740039845821235
2022-03-04,0.55,1.0,NORMAL,NORMAL,-0.17185783066467164,-0.14226548432118558,9.594697762798265,11.672718412102505
2022-03-07,0.55,1.0,NORMAL,NORMAL,-0.1842201447806716,-0.15401634217481253,9.515922680945053,11.512803598930414
2022-03-08,0.55,1.0,NORMAL,NORMAL,-0.1768829417422939,-0.1460272176901357,9.562995602638924,11.621525818643192
2022-03-09,0.55,1.0,NORMAL,NORMAL,-0.1701276169764253,-0.13809315126450905,9.606161549948931,11.729498765465745
2022-03-10,0.55,1.0,NORMAL,NORMAL,-0.16392831091948223,-0.13152146257251407,9.645629479216538,11.818931416468425
2022-03-11,0.55,1.0,NORMAL,NORMAL,-0.1709095824641006,-0.13765315156032443,9.600879382987324,11.73548662366018
2022-03-14,0.55,1.0,NORMAL,NORMAL,-0.19181703385365867,-0.1576787668646037,9.468169683328862,11.462962475216706
2022-03-15,0.55,1.0,NORMAL,NORMAL,-0.1815768882090728,-0.1459650299017633,9.533208640170177,11.622372118435345
